id,hullIds,name,paintjobFamily,spriteId,unlockedAutomatically,tags,unlockConditions,description
diableavionics_stripeless_mirage,diableavionics_mirage,Stripeless,stripeless,graphics/stripeless/ships/diableavionics_mirage.png,true,,,
diableavionics_ornate_mirage,diableavionics_mirage,Ornate,ornate,graphics/ornate/ships/diableavionics_mirage.png,true,,,
,,,,,,,,
diableavionics_stripeless_godhead,diableavionics_godhead,Stripeless,stripeless,graphics/stripeless/ships/diableavionics_godhead.png,true,,,
diableavionics_stripeless_godhead_l_f,diableavionics_godhead_l_f,Stripeless,stripeless,graphics/stripeless/ships/diableavionics_godhead_l_f.png,true,,,
diableavionics_stripeless_godhead_r_f,diableavionics_godhead_r_f,Stripeless,stripeless,graphics/stripeless/ships/diableavionics_godhead_r_f.png,true,,,
diableavionics_stripeless_godhead_c,diableavionics_godhead_c,Stripeless,stripeless,graphics/stripeless/ships/diableavionics_godhead_c.png,true,,,
diableavionics_stripeless_godhead_l_b,diableavionics_godhead_l_b,Stripeless,stripeless,graphics/stripeless/ships/diableavionics_godhead_l_b.png,true,,,
diableavionics_stripeless_godhead_r_b,diableavionics_godhead_r_b,Stripeless,stripeless,graphics/stripeless/ships/diableavionics_godhead_r_b.png,true,,,
diableavionics_ornate_godhead,diableavionics_godhead,Ornate,ornate,graphics/ornate/ships/diableavionics_godhead.png,true,,,
diableavionics_ornate_godhead_l_f,diableavionics_godhead_l_f,Ornate,ornate,graphics/ornate/ships/diableavionics_godhead_l_f.png,true,,,
diableavionics_ornate_godhead_r_f,diableavionics_godhead_r_f,Ornate,ornate,graphics/ornate/ships/diableavionics_godhead_r_f.png,true,,,
diableavionics_ornate_godhead_c,diableavionics_godhead_c,Ornate,ornate,graphics/ornate/ships/diableavionics_godhead_c.png,true,,,
diableavionics_ornate_godhead_l_b,diableavionics_godhead_l_b,Ornate,ornate,graphics/ornate/ships/diableavionics_godhead_l_b.png,true,,,
diableavionics_ornate_godhead_r_b,diableavionics_godhead_r_b,Ornate,ornate,graphics/ornate/ships/diableavionics_godhead_r_b.png,true,,,
,,,,,,,,
diableavionics_ornate_drought,diableavionics_drought,Ornate,ornate,graphics/ornate/ships/diableavionics_drought.png,true,,,
diableavionics_stripeless_drought,diableavionics_drought,Stripeless,stripeless,graphics/stripeless/ships/diableavionics_drought.png,true,,,
,,,,,,,,
diableavionics_ornate_flood_t,diableavionics_flood_t,Ornate,ornate,graphics/ornate/ships/diableavionics_flood_t.png,true,,,
diableavionics_stripeless_flood_t,diableavionics_flood_t,Stripeless,stripeless,graphics/stripeless/ships/diableavionics_flood_t.png,true,,,
,,,,,,,,
diableavionics_ornate_flood_f,diableavionics_flood_f,Ornate,ornate,graphics/ornate/ships/diableavionics_flood_f.png,true,,,
diableavionics_stripeless_flood_f,diableavionics_flood_f,Stripeless,stripeless,graphics/stripeless/ships/diableavionics_flood_f.png,true,,,
